flavor,family,vcpus,ram_gb,local_disk_gb,gpu_model,gpu_fraction,gpu_count,gpu_ram_gb,su_per_hour,notes,source
m3.tiny,cpu,1,3,20,,,,,1,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.small,cpu,2,6,20,,,,,2,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.quad,cpu,4,15,20,,,,,4,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.medium,cpu,8,30,60,,,,,8,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.large,cpu,16,60,60,,,,,16,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.xl,cpu,32,125,60,,,,,32,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.2xl,cpu,64,250,60,,,,,64,,https://docs.jetstream-cloud.org/general/instance-flavors/
m3.3xl,cpu,128,500,60,,,,,128,by request (whole C6525 node),https://docs.jetstream-cloud.org/general/instance-flavors/
r3.large,largemem,64,500,60,,,,,128,,https://docs.jetstream-cloud.org/general/instance-flavors/
r3.xl,largemem,128,1000,60,,,,,256,whole R7525 node,https://docs.jetstream-cloud.org/general/instance-flavors/
g3.medium,gpu-partial,8,30,60,A100,0.25,,10,16,NVIDIA vGPU slice; no CUDA debugging / unified memory,https://docs.jetstream-cloud.org/general/instance-flavors/
g3.large,gpu-partial,16,60,60,A100,0.5,,20,32,NVIDIA vGPU slice,https://docs.jetstream-cloud.org/general/instance-flavors/
g3.xl,gpu,32,120,60,A100,1,1,40,64,full A100 SXM4 40GB,https://docs.jetstream-cloud.org/general/instance-flavors/
g4.xl,gpu,12,120,60,L40S,1,1,48,84,by request,https://docs.jetstream-cloud.org/general/instance-flavors/
g4.2xl,gpu,24,240,60,L40S,1,2,96,168,by request; both cards on one node,https://docs.jetstream-cloud.org/general/instance-flavors/
g4.4xl,gpu,48,480,60,L40S,1,4,192,336,by request; whole R760XA GPU complement,https://docs.jetstream-cloud.org/general/instance-flavors/
g5.xl,gpu,20,240,60,H100,1,1,80,128,by request,https://docs.jetstream-cloud.org/general/instance-flavors/
g5.2xl,gpu,40,480,60,H100,1,2,160,256,by request; both cards on one node (NVLink exposure inside the VM: TODO(js2)),https://docs.jetstream-cloud.org/general/instance-flavors/
g5.4xl,gpu,80,960,60,H100,1,4,320,512,by request; whole XE9640 GPU complement,https://docs.jetstream-cloud.org/general/instance-flavors/
